#keggName_to_taxonName	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Acidipropionibacterium jensenii	Lactobacillus brevis	Lactobacillus paracasei	Lactobacillus curvatus	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium kluyveri	Clostridium luticellarii	Clostridium tyrobutyricum	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	Faecalicatena fissicatena	Oscillibacter sp. CAG:155	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. 1-3	Oscillibacter sp. PC13	Desulfitobacterium hafniense	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Marasmitruncus massiliensis	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium	Methanobacterium congolense	Methanobacterium paludis
K01480 agmatinase [EC:3.5.3.11]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	9	112
K01482 dimethylargininase [EC:3.5.3.18]	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01485 cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01486 adenine deaminase [EC:3.5.4.2]	0	0	0	0	0	0	0	0	0	0	0	174	0	0	124	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	35	50
K01487 guanine deaminase [EC:3.5.4.3]	0	0	0	0	0	0	0	381	3	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01488 adenosine deaminase [EC:3.5.4.4]	0	0	0	0	0	0	52	0	0	0	0	40	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01489 cytidine deaminase [EC:3.5.4.5]	0	0	0	0	0	0	11	0	0	0	0	0	51	0	0	1	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0
K01491 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	0	0	0	0	1	0	1	29	0	3	0	43	0	0	0	0	0	0	0	0	0	83	0	0	2	0	4	0	0	0	0	0	0
K01493 dCMP deaminase [EC:3.5.4.12]	0	0	0	0	7	0	3	15	0	5	0	0	8	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0
K01494 dCTP deaminase [EC:3.5.4.13]	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
K01495 GTP cyclohydrolase IA [EC:3.5.4.16]	0	0	0	0	0	0	3	0	0	0	3	69	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01496 phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	32
K01499 methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23
K01507 inorganic pyrophosphatase [EC:3.6.1.1]	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
K01512 acylphosphatase [EC:3.6.1.7]	0	0	0	0	0	0	5	52	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01515 ADP-ribose pyrophosphatase [EC:3.6.1.13]	0	0	0	0	0	0	0	0	0	30	4	184	751	0	6	0	0	0	0	0	0	75	0	0	0	0	10	0	0	0	0	0	0
K01520 dUTP pyrophosphatase [EC:3.6.1.23]	0	0	0	0	0	0	4	63	0	0	0	1	0	0	0	0	0	0	0	0	0	106	0	0	0	0	9	0	0	0	0	0	0
K01523 phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K01524 exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	0	0	0	0	0	0	18	159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	3	0	0	0
K01529 inosine/xanthosine triphosphatase [EC:3.6.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	31
K01531 P-type Mg2+ transporter [EC:7.2.2.14]	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K01533 P-type Cu2+ transporter [EC:7.2.2.9]	0	0	0	0	0	0	42	196	2	19	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01534 Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 7.2.2.12]	0	0	0	0	0	0	0	146	0	72	3	452	0	0	0	0	0	4	0	0	0	385	0	0	19	0	339	0	0	0	0	0	132
K01535 H+-transporting ATPase [EC:7.1.2.1]	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533
K01537 P-type Ca2+ transporter type 2C [EC:7.2.2.10]	0	0	0	0	0	0	0	197	0	7	5	95	1392	0	12	0	0	0	0	0	0	1367	0	0	1	0	213	0	0	0	0	186	56
K01546 potassium-transporting ATPase potassium-binding subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265
K01547 potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195
K01548 potassium-transporting ATPase KdpC subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K01551 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	37
K01554 8-oxo-dGDP phosphatase [EC:3.6.1.58]	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01560 2-haloacid dehalogenase [EC:3.8.1.2]	0	0	0	0	0	0	0	5	0	25	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01567 peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01571 oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	66	0	0	0	0	4	0	0	0	0	0	0
K01575 acetolactate decarboxylase [EC:4.1.1.5]	0	0	0	0	0	0	24	3	0	30	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01579 aspartate 1-decarboxylase [EC:4.1.1.11]	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01580 glutamate decarboxylase [EC:4.1.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	45
K01585 arginine decarboxylase [EC:4.1.1.19]	0	0	0	0	0	0	0	0	0	0	0	0	245	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01586 diaminopimelate decarboxylase [EC:4.1.1.20]	0	0	0	0	0	0	11	0	0	0	0	0	370	0	7	0	0	0	0	0	0	11	0	0	0	0	6	0	0	0	0	76	29
K01588 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	0	0	0	0	1	0	2	0	0	6	0	68	62	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	6
K01589 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	0	0	0	0	0	0	21	131	16	64	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01591 orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	0	0	0	0	0	0	8	5	0	15	0	66	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	41
K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
K01597 diphosphomevalonate decarboxylase [EC:4.1.1.33]	0	0	0	0	0	0	16	202	13	8	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01598 phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
K01599 uroporphyrinogen decarboxylase [EC:4.1.1.37]	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
K01604 methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
K01607 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	0	0	0	0	0	0	0	2	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39
K01609 indole-3-glycerol phosphate synthase [EC:4.1.1.48]	0	0	0	0	0	0	21	0	0	0	0	0	292	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	36	67
K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01611 S-adenosylmethionine decarboxylase [EC:4.1.1.50]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K01613 phosphatidylserine decarboxylase [EC:4.1.1.65]	0	0	0	0	0	0	0	0	0	0	0	0	107	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	53
K01615 glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	1	0	0	0	0	0	0
K01619 deoxyribose-phosphate aldolase [EC:4.1.2.4]	0	0	0	0	0	0	18	53	0	0	0	3	207	0	0	5	0	0	0	0	0	16	0	0	0	0	5	0	0	0	0	0	19
K01620 threonine aldolase [EC:4.1.2.48]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	9	0	0	0	0	0	0
K01621 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	0	0	0	0	0	0	0	44	4	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
K01622 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	66
K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	0	0	0	0	0	0	1	0	4	0	0	7	117	0	0	0	0	0	0	0	0	12	0	0	0	0	39	0	0	0	0	0	0
K01625 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	0	0	0	0	0	0	7	76	35	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	0	0	0	0	0	0	6	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01628 L-fuculose-phosphate aldolase [EC:4.1.2.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	98
K01633 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	0	0	0	0	0	0	10	0	0	0	0	32	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
K01639 N-acetylneuraminate lyase [EC:4.1.3.3]	0	0	0	0	0	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01640 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
K01641 hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	0	0	0	0	0	0	0	0	0	15	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K01643 citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
K01644 citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0
K01646 citrate lyase subunit gamma (acyl carrier protein)	0	0	0	0	0	0	0	0	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
K01647 citrate synthase [EC:2.3.3.1]	0	0	0	0	0	0	23	0	0	0	0	0	458	0	0	0	0	0	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0
K01649 2-isopropylmalate synthase [EC:2.3.3.13]	0	0	0	0	4	0	22	0	0	0	0	0	593	0	0	0	0	0	0	0	0	126	0	0	0	0	13	0	0	0	0	5	489
K01652 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	0	0	0	0	0	4	44	0	5	3	0	60	934	0	0	0	0	0	0	0	0	77	0	0	0	0	75	0	0	0	0	31	238
K01653 acetolactate synthase I/III small subunit [EC:2.2.1.6]	0	0	0	0	0	0	2	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
K01657 anthranilate synthase component I [EC:4.1.3.27]	0	0	0	0	0	0	17	0	0	0	0	0	509	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	338
K01658 anthranilate synthase component II [EC:4.1.3.27]	0	0	0	0	0	0	0	0	0	0	0	0	438	3	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	38	24
K01661 naphthoate synthase [EC:4.1.3.36]	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01662 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	0	2	0	0	0	0	52	0	0	0	0	0	317	0	9	1	0	0	0	0	0	131	0	0	0	0	33	0	0	0	0	0	0
K01664 para-aminobenzoate synthetase component II [EC:2.6.1.85]	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01673 carbonic anhydrase [EC:4.2.1.1]	0	0	0	0	0	0	9	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01674 carbonic anhydrase [EC:4.2.1.1]	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01677 fumarate hydratase subunit alpha [EC:4.2.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	65
K01678 fumarate hydratase subunit beta [EC:4.2.1.2]	0	0	0	0	2	0	0	0	0	0	0	0	37	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
K01679 fumarate hydratase, class II [EC:4.2.1.2]	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	46	0	0	0	0	0	0
K01681 aconitate hydratase [EC:4.2.1.3]	0	0	0	0	11	0	14	0	0	0	0	0	334	0	0	0	0	0	0	0	0	105	0	0	0	0	12	0	0	0	0	0	0
K01684 galactonate dehydratase [EC:4.2.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
K01685 altronate hydrolase [EC:4.2.1.7]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01686 mannonate dehydratase [EC:4.2.1.8]	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
K01687 dihydroxy-acid dehydratase [EC:4.2.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	2	0	0	0	7	0	0	0	0	77	0	0	0	0	32	256
K01689 enolase [EC:4.2.1.11]	0	0	0	0	0	0	1	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	42
K01692 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01693 imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	0	0	0	0	1	0	2	0	0	0	0	0	224	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	4	11
K01695 tryptophan synthase alpha chain [EC:4.2.1.20]	0	0	0	0	4	0	3	0	0	0	0	0	585	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	4	76
K01696 tryptophan synthase beta chain [EC:4.2.1.20]	0	0	0	0	0	0	8	0	0	0	0	0	431	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	84
K01698 porphobilinogen synthase [EC:4.2.1.24]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210
K01699 propanediol dehydratase large subunit [EC:4.2.1.28]	0	0	0	0	0	0	0	14	0	0	0	0	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	103	0	0	0	0	4	0	0	1	0	20	1
K01704 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	0	0	0	0	3	0	3	0	0	0	0	0	31	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	6	28
K01706 glucarate dehydratase [EC:4.2.1.40]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0
K01708 galactarate dehydratase [EC:4.2.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
K01710 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	12
K01712 urocanate hydratase [EC:4.2.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
K01714 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	0	0	0	0	1	0	13	0	19	0	0	0	139	0	0	1	0	0	0	0	0	2145	0	0	0	0	945	0	0	0	0	12	127
K01715 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	64	0	0	0	0	4	0	0	0	0	0	0
K01719 uroporphyrinogen-III synthase [EC:4.2.1.75]	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21
K01733 threonine synthase [EC:4.2.3.1]	2	0	0	0	0	0	13	0	0	0	0	0	530	0	3	0	0	0	0	0	0	127	0	0	0	0	34	0	0	0	0	21	58
K01734 methylglyoxal synthase [EC:4.2.3.3]	0	0	5	0	0	0	0	0	0	4	0	17	0	0	0	0	0	0	0	0	0	26	0	0	0	0	9	0	0	0	0	0	0
K01735 3-dehydroquinate synthase [EC:4.2.3.4]	0	0	0	0	0	0	8	0	0	19	0	165	0	0	0	0	0	0	0	0	0	96	0	0	0	0	4	0	0	0	0	0	0
K01736 chorismate synthase [EC:4.2.3.5]	0	0	0	0	0	0	15	0	0	0	0	0	352	0	6	0	0	0	0	0	0	237	0	0	0	0	11	0	0	0	0	15	51
K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	62
K01738 cysteine synthase [EC:2.5.1.47]	0	0	0	0	0	0	0	0	0	0	0	0	288	0	2	0	0	0	0	0	0	78	0	0	0	0	14	0	0	0	0	0	0
K01739 cystathionine gamma-synthase [EC:2.5.1.48]	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	34	0	0	1	0	0	0
K01744 aspartate ammonia-lyase [EC:4.3.1.1]	0	0	0	0	0	0	15	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
K01746 formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
K01749 hydroxymethylbilane synthase [EC:2.5.1.61]	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	229
K01750 ornithine cyclodeaminase [EC:4.3.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
K01751 diaminopropionate ammonia-lyase [EC:4.3.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K01752 L-serine dehydratase [EC:4.3.1.17]	0	0	0	0	0	0	26	0	12	5	0	31	860	0	0	0	0	2	0	0	0	31	0	0	0	0	36	0	0	0	0	0	0
K01754 threonine dehydratase [EC:4.3.1.19]	0	0	0	0	0	0	28	0	0	0	9	2	270	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0
K01755 argininosuccinate lyase [EC:4.3.2.1]	0	0	0	0	0	0	10	0	0	0	0	0	289	0	0	0	0	0	0	0	0	85	0	0	0	0	15	0	0	0	0	12	157
K01756 adenylosuccinate lyase [EC:4.3.2.2]	0	0	0	0	4	0	4	0	0	12	2	43	147	0	0	0	0	0	0	0	0	162	0	0	0	0	52	0	0	0	0	3	106
K01759 lactoylglutathione lyase [EC:4.4.1.5]	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	3	0	0	0	0	0	138	0	0	0	0	13	0	0	0	0	0	0
K01760 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	0	0	0	0	0	0	0	0	0	0	0	0	115	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	239
K01761 methionine-gamma-lyase [EC:4.4.1.11]	0	0	0	0	0	0	0	0	0	0	0	0	139	4	0	0	0	0	0	0	0	63	0	0	0	0	6	0	0	0	0	0	0
K01770 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
K01772 protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01775 alanine racemase [EC:5.1.1.1]	0	0	0	0	0	0	14	214	0	12	0	173	0	0	0	0	0	0	0	0	0	243	0	0	0	0	10	0	0	0	0	0	0
K01776 glutamate racemase [EC:5.1.1.3]	0	0	0	0	0	0	5	172	0	13	0	155	174	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0
K01778 diaminopimelate epimerase [EC:5.1.1.7]	0	0	0	0	0	0	12	0	0	0	0	0	127	0	0	0	0	0	0	0	0	181	0	0	0	0	58	0	0	0	0	0	153
K01779 aspartate racemase [EC:5.1.1.13]	0	0	0	0	0	0	25	72	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1]	0	0	0	0	0	0	0	0	9	4	0	35	190	0	0	0	0	0	0	0	0	25	0	0	0	0	17	0	0	0	0	0	0
K01784 UDP-glucose 4-epimerase [EC:5.1.3.2]	0	1	0	0	0	0	1	0	0	1	0	27	159	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	444
K01785 aldose 1-epimerase [EC:5.1.3.3]	0	0	0	0	0	0	29	1	0	8	0	100	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01788 N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	4
K01791 UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	0	0	0	0	0	0	0	16	2	0	0	47	240	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	19	24
K01792 glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
