#keggName_to_taxonName	Bacteroidaceae bacterium HV4-6-C5C	Prevotella paludivivens	Acetobacter aceti	Pseudoclavibacter soli	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium kluyveri	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Faecalicatena fissicatena	Hespellia stercorisuis	Oscillibacter sp. CAG:155	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. 1-3	Oscillibacter sp. 57_20	Oscillibacter sp. PC13	Desulfitobacterium hafniense	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Marasmitruncus massiliensis	Papillibacter cinnamivorans	Pseudoflavonifractor capillosus	Pseudoflavonifractor sp. Marseille-P3106	Pygmaiobacter massiliensis	Sporobacter termitidis	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:129	Firmicutes bacterium HGW-Firmicutes-16	Methanobacterium paludis
K01658 anthranilate synthase component II [EC:4.1.3.27]	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
K01659 2-methylcitrate synthase [EC:2.3.3.5]	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01662 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	0	0	56	0	0	0	86	0	0	0	0	0	0	0	0	245	0	0	0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0
K01668 tyrosine phenol-lyase [EC:4.1.99.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K01673 carbonic anhydrase [EC:4.2.1.1]	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K01677 fumarate hydratase subunit alpha [EC:4.2.1.2]	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	21
K01678 fumarate hydratase subunit beta [EC:4.2.1.2]	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
K01679 fumarate hydratase, class II [EC:4.2.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
K01681 aconitate hydratase [EC:4.2.1.3]	0	0	7	0	0	0	77	0	0	0	0	0	0	0	0	54	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
K01684 galactonate dehydratase [EC:4.2.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
K01686 mannonate dehydratase [EC:4.2.1.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
K01687 dihydroxy-acid dehydratase [EC:4.2.1.9]	0	0	6	0	0	0	29	0	0	0	0	0	0	0	0	4	0	0	0	0	0	36	0	0	0	0	0	0	0	2	0	0	0	80
K01689 enolase [EC:4.2.1.11]	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
K01692 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01693 imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4
K01695 tryptophan synthase alpha chain [EC:4.2.1.20]	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	16
K01696 tryptophan synthase beta chain [EC:4.2.1.20]	0	0	1	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
K01698 porphobilinogen synthase [EC:4.2.1.24]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
K01699 propanediol dehydratase large subunit [EC:4.2.1.28]	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1
K01704 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
K01706 glucarate dehydratase [EC:4.2.1.40]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
K01708 galactarate dehydratase [EC:4.2.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
K01710 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	0	0	13	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	4
K01712 urocanate hydratase [EC:4.2.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01714 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	0	0	8	0	0	0	35	0	0	1	0	0	0	0	0	4588	0	0	0	0	0	1969	0	0	0	0	0	0	0	747	0	0	0	23
K01715 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
K01719 uroporphyrinogen-III synthase [EC:4.2.1.75]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K01720 2-methylcitrate dehydratase [EC:4.2.1.79]	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01733 threonine synthase [EC:4.2.3.1]	0	0	4	0	0	0	240	0	0	0	0	0	0	0	0	72	0	0	0	0	0	22	0	0	0	0	0	0	0	31	0	0	0	11
K01734 methylglyoxal synthase [EC:4.2.3.3]	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
K01735 3-dehydroquinate synthase [EC:4.2.3.4]	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
K01736 chorismate synthase [EC:4.2.3.5]	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	293	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	10
K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
K01738 cysteine synthase [EC:2.5.1.47]	0	0	6	0	0	0	77	0	0	0	0	0	0	0	0	106	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
K01744 aspartate ammonia-lyase [EC:4.3.1.1]	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
K01746 formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01749 hydroxymethylbilane synthase [EC:2.5.1.61]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38
K01750 ornithine cyclodeaminase [EC:4.3.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01751 diaminopropionate ammonia-lyase [EC:4.3.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K01752 L-serine dehydratase [EC:4.3.1.17]	0	0	0	0	0	6	308	0	0	0	0	0	0	0	0	52	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0
K01754 threonine dehydratase [EC:4.3.1.19]	0	0	1	0	0	1	105	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K01755 argininosuccinate lyase [EC:4.3.2.1]	0	0	3	0	0	0	81	0	0	0	0	0	0	0	0	162	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27
K01756 adenylosuccinate lyase [EC:4.3.2.2]	0	0	0	0	0	7	50	0	0	0	0	0	0	0	0	325	0	0	0	0	0	29	0	0	0	0	0	0	0	7	0	0	0	22
K01759 lactoylglutathione lyase [EC:4.4.1.5]	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
K01760 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	59
K01761 methionine-gamma-lyase [EC:4.4.1.11]	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	47	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
K01770 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
K01772 protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01775 alanine racemase [EC:5.1.1.1]	0	0	0	0	0	25	0	0	0	1	0	0	0	0	0	552	0	0	0	0	0	5	0	0	0	0	0	0	0	15	0	0	0	0
K01776 glutamate racemase [EC:5.1.1.3]	0	0	0	0	0	28	58	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
K01778 diaminopimelate epimerase [EC:5.1.1.7]	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	343	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	50
K01779 aspartate racemase [EC:5.1.1.13]	0	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1]	0	0	10	0	0	1	89	0	0	0	0	0	0	0	0	25	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0
K01784 UDP-glucose 4-epimerase [EC:5.1.3.2]	0	0	0	0	0	4	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	123
K01785 aldose 1-epimerase [EC:5.1.3.3]	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01788 N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3
K01791 UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	0	0	0	0	0	9	75	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1]	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15
K01804 L-arabinose isomerase [EC:5.3.1.4]	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6]	0	0	6	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
K01808 ribose 5-phosphate isomerase B [EC:5.3.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	27	0	0	0	0	0	0	0	3	0	0	0	0
K01809 mannose-6-phosphate isomerase [EC:5.3.1.8]	0	0	0	0	0	1	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
K01810 glucose-6-phosphate isomerase [EC:5.3.1.9]	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	119	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0
K01812 glucuronate isomerase [EC:5.3.1.12]	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01814 phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	0	0	1	0	0	0	142	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10
K01815 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24]	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
K01818 L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
K01821 4-oxalocrotonate tautomerase [EC:5.3.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
K01823 isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K01835 phosphoglucomutase [EC:5.4.2.2]	0	0	0	0	0	7	24	0	0	0	0	0	0	0	0	55	0	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0
K01839 phosphopentomutase [EC:5.4.2.7]	0	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
K01840 phosphomannomutase [EC:5.4.2.8]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01843 lysine 2,3-aminomutase [EC:5.4.3.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
K01844 beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K01845 glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22
K01854 UDP-galactopyranose mutase [EC:5.4.99.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1]	0	0	1	0	0	5	47	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	24
K01867 tryptophanyl-tRNA synthetase [EC:6.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
K01868 threonyl-tRNA synthetase [EC:6.1.1.3]	0	0	3	0	0	21	64	0	0	0	0	0	0	0	0	37	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	51
K01869 leucyl-tRNA synthetase [EC:6.1.1.4]	0	0	25	0	0	3	90	0	0	0	0	0	0	0	0	31	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	99
K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	52
K01872 alanyl-tRNA synthetase [EC:6.1.1.7]	0	0	3	0	0	11	258	0	0	0	0	0	0	0	0	335	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
K01873 valyl-tRNA synthetase [EC:6.1.1.9]	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	57
K01874 methionyl-tRNA synthetase [EC:6.1.1.10]	0	0	0	0	0	26	102	0	0	0	0	0	0	0	0	266	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	52
K01875 seryl-tRNA synthetase [EC:6.1.1.11]	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	86	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	86
K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]	0	0	2	0	2	23	86	0	0	0	0	0	0	0	4	13	0	0	0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	0
K01879 glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01880 glycyl-tRNA synthetase [EC:6.1.1.14]	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
K01881 prolyl-tRNA synthetase [EC:6.1.1.15]	0	0	0	0	0	6	182	0	0	0	0	0	0	0	0	30	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	6
K01883 cysteinyl-tRNA synthetase [EC:6.1.1.16]	0	0	5	0	0	11	66	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2
K01885 glutamyl-tRNA synthetase [EC:6.1.1.17]	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	98	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	67
K01886 glutaminyl-tRNA synthetase [EC:6.1.1.18]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
K01887 arginyl-tRNA synthetase [EC:6.1.1.19]	0	0	12	0	0	6	69	0	0	0	0	0	0	0	0	776	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	82
K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	62
K01890 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	0	0	0	0	0	34	252	0	0	0	0	0	0	0	0	84	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0	75
K01892 histidyl-tRNA synthetase [EC:6.1.1.21]	0	0	26	0	0	22	132	0	0	0	0	0	0	0	0	557	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	32
K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22]	0	0	0	0	0	3	67	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
K01895 acetyl-CoA synthetase [EC:6.2.1.1]	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89
K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
K01910 [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
K01912 phenylacetate-CoA ligase [EC:6.2.1.30]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
K01914 aspartate--ammonia ligase [EC:6.3.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01915 glutamine synthetase [EC:6.3.1.2]	0	0	0	0	0	1	198	0	0	0	0	0	0	0	0	1195	0	0	0	0	0	43	0	0	0	0	0	0	0	1	1	0	0	21
K01916 NAD+ synthase [EC:6.3.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
K01918 pantoate--beta-alanine ligase [EC:6.3.2.1]	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01919 glutamate--cysteine ligase [EC:6.3.2.2]	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
K01920 glutathione synthase [EC:6.3.2.3]	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01921 D-alanine-D-alanine ligase [EC:6.3.2.4]	0	0	0	0	0	15	99	0	0	0	0	0	0	0	0	1429	0	0	0	0	0	157	0	0	0	0	0	0	0	14	0	0	0	0
K01923 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0	0	0	0	0	22	28	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
K01924 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	0	0	2	0	1	2	98	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
K01925 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	0	0	0	0	0	22	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	256
K01926 redox-sensing transcriptional repressor	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
K01928 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	0	0	15	0	0	9	73	2	0	0	0	0	0	0	0	642	0	0	0	0	0	6	0	0	0	0	0	0	0	12	0	0	0	35
K01929 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	0	0	0	0	0	38	101	0	0	0	0	0	0	0	0	876	0	0	0	0	0	6	0	0	0	0	0	0	0	15	0	0	0	0
K01932 gamma-polyglutamate synthase [EC:6.3.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01933 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0	0	0	0	0	25	13	0	0	0	0	0	0	0	0	37	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	32
K01934 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	0	0	0	0	0	28	59	0	0	0	0	0	0	0	0	107	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3
K01937 CTP synthase [EC:6.3.4.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	30
K01938 formate--tetrahydrofolate ligase [EC:6.3.4.3]	0	0	0	0	0	20	18	0	0	0	0	0	0	0	0	146	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K01939 adenylosuccinate synthase [EC:6.3.4.4]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	29
K01940 argininosuccinate synthase [EC:6.3.4.5]	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
K01945 phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	104
K01950 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	0	1	5	0	0	0	120	0	0	0	0	0	0	0	0	97	0	0	0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0
K01951 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	0	0	3	0	0	0	93	0	0	0	0	0	0	0	0	430	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	21
K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	570	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0	0	0	0	0	22	7	0	0	0	0	0	0	0	0	398	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	29
K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0	0	16	0	0	23	415	0	0	0	0	0	0	0	0	345	0	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	61
K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	35
