#keggName_to_taxonName	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus curvatus	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium sp. JN-9	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. PI-S10-A1B	Clostridium sp. W14A	uncultured Clostridiales bacterium	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. PC13	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:83	Methanobacterium congolense	Methanobacterium paludis
K01693 imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	0	0	0	0	0	0	0	36	0	0	0	12	0	331	0	1	1	0	1	0	3	7	0	2	3	5	4	0	0	1	9
K01695 tryptophan synthase alpha chain [EC:4.2.1.20]	0	0	0	0	0	2	10	35	0	0	0	0	0	934	0	0	1	0	2	0	0	20	0	0	0	4	30	0	0	2	39
K01696 tryptophan synthase beta chain [EC:4.2.1.20]	0	0	0	0	0	0	0	89	0	0	0	0	0	547	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	63
K01698 porphobilinogen synthase [EC:4.2.1.24]	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	166
K01699 propanediol dehydratase large subunit [EC:4.2.1.28]	0	0	0	0	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01703 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	0	0	0	5	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	38	0	5	0	8	41	0	0	6	0
K01704 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	0	0	0	0	0	0	2	40	0	0	0	2	0	26	0	0	0	0	0	19	0	17	0	0	0	0	0	0	0	2	31
K01706 glucarate dehydratase [EC:4.2.1.40]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
K01708 galactarate dehydratase [EC:4.2.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
K01709 CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0
K01710 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	0	0	0	10	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	1	46	0	6	6
K01712 urocanate hydratase [EC:4.2.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	6	0	0	0
K01714 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	6	0	0	0	0	0	5	57	0	0	0	0	0	164	0	1	2	0	6	3	7	598	0	296	0	3	142	2	0	7	67
K01715 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	12	16	0	7	5	8	3	0	0	0	0
K01719 uroporphyrinogen-III synthase [EC:4.2.1.75]	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10
K01720 2-methylcitrate dehydratase [EC:4.2.1.79]	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01730 oligogalacturonide lyase [EC:4.2.2.6]	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01733 threonine synthase [EC:4.2.3.1]	0	4	0	0	0	0	0	0	0	0	0	0	0	1195	0	0	1	0	0	0	9	89	5	19	1	3	76	13	0	32	48
K01734 methylglyoxal synthase [EC:4.2.3.3]	15	0	0	5	11	0	0	0	2	0	15	0	0	0	1	0	0	0	0	4	0	3	0	8	0	0	0	0	0	0	0
K01735 3-dehydroquinate synthase [EC:4.2.3.4]	2	0	0	1	0	0	0	1	27	0	170	17	0	16	0	0	4	0	0	0	63	43	9	1	1	1	7	0	0	0	0
K01736 chorismate synthase [EC:4.2.3.5]	0	0	0	15	0	0	3	84	0	0	0	11	0	531	0	0	4	0	3	1	17	61	7	6	0	23	47	0	0	6	33
K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51
K01738 cysteine synthase [EC:2.5.1.47]	0	0	0	38	0	0	3	58	0	0	0	39	0	379	0	0	2	0	4	0	0	28	0	6	0	6	0	0	0	0	1
K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	0	0	11	0	8	3	0	0	0	0	0	0	2	0	0	2	0	11	1	0	3	0	43	1	17	0	2	0	0	0
K01744 aspartate ammonia-lyase [EC:4.3.1.1]	0	0	0	0	0	0	0	28	0	0	0	11	0	242	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0
K01745 histidine ammonia-lyase [EC:4.3.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
K01746 formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
K01749 hydroxymethylbilane synthase [EC:2.5.1.61]	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	2	117
K01750 ornithine cyclodeaminase [EC:4.3.1.12]	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0
K01751 diaminopropionate ammonia-lyase [EC:4.3.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	12	0	0	0
K01752 L-serine dehydratase [EC:4.3.1.17]	0	0	0	4	1	0	0	0	8	2	34	0	3	1559	0	0	1	0	1	0	27	16	0	17	0	2	52	39	0	0	0
K01753 D-serine dehydratase [EC:4.3.1.18]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
K01754 threonine dehydratase [EC:4.3.1.19]	0	0	0	0	1	0	0	34	0	1	15	0	0	372	0	0	2	0	3	0	40	30	31	0	0	0	5	2	0	0	0
K01755 argininosuccinate lyase [EC:4.3.2.1]	0	0	0	0	0	0	0	15	0	0	0	15	0	358	0	0	1	0	0	0	19	37	40	5	0	4	0	6	0	16	78
K01756 adenylosuccinate lyase [EC:4.3.2.2]	0	0	0	0	0	0	2	12	1	0	56	8	0	170	47	3	1	0	0	0	0	75	0	28	0	3	11	4	0	6	71
K01759 lactoylglutathione lyase [EC:4.4.1.5]	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	61	21	17	0	3	0	0	0	1	0
K01760 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	0	0	0	0	0	0	0	0	0	0	0	10	0	201	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	184
K01761 methionine-gamma-lyase [EC:4.4.1.11]	0	0	0	8	0	0	0	0	0	0	0	0	0	132	0	0	0	0	51	0	25	46	0	0	0	2	0	0	0	0	0
K01770 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	0	0	0	23	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	2	0	0	3	1	0	11	0	0	0	0
K01771 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01772 protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01775 alanine racemase [EC:5.1.1.1]	2	0	0	3	0	0	1	1	5	0	185	110	3	36	18	0	10	0	5	0	22	71	29	10	4	5	84	26	30	0	0
K01776 glutamate racemase [EC:5.1.1.3]	0	0	0	9	0	0	0	0	16	1	151	5	0	222	0	15	0	0	0	0	0	58	0	0	0	11	52	5	0	0	0
K01777 proline racemase [EC:5.1.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01778 diaminopimelate epimerase [EC:5.1.1.7]	0	0	0	3	0	0	0	56	0	0	0	0	0	189	1	0	2	0	0	0	4	66	1	27	0	1	0	0	0	0	98
K01779 aspartate racemase [EC:5.1.1.13]	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	37	0	0	0	0
K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1]	0	13	0	0	0	0	0	0	1	0	34	7	0	275	0	15	0	0	0	0	10	24	0	7	0	5	7	0	0	0	0
K01784 UDP-glucose 4-epimerase [EC:5.1.3.2]	7	4	0	82	0	1	0	2	3	0	30	0	1	156	0	0	0	0	2	0	0	0	0	4	3	8	0	0	0	3	254
K01785 aldose 1-epimerase [EC:5.1.3.3]	59	0	3	17	0	0	0	0	22	6	117	54	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0
K01787 N-acylglucosamine 2-epimerase [EC:5.1.3.8]	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01788 N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	0	0	0	0	0	0	0	0	0	0	225	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	29	0	0	0
K01791 UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	3	0	12	8	0	0	0	0	0	0	68	0	0	287	0	0	0	0	0	0	0	35	0	0	3	0	1	49	0	15	28
K01802 peptidylprolyl isomerase [EC:5.2.1.8]	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1]	0	0	0	1	0	0	0	24	0	0	0	18	0	278	0	0	0	0	4	0	0	2	0	2	0	0	0	15	0	8	49
K01804 L-arabinose isomerase [EC:5.3.1.4]	0	0	0	0	0	0	0	0	0	0	41	16	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0
K01805 xylose isomerase [EC:5.3.1.5]	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6]	0	0	0	0	0	0	0	0	2	0	63	77	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
K01808 ribose 5-phosphate isomerase B [EC:5.3.1.6]	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	5	21	0	0	14	1	0	0	0
K01809 mannose-6-phosphate isomerase [EC:5.3.1.8]	0	0	0	24	0	0	0	0	0	0	9	54	0	485	0	0	5	0	13	0	0	0	0	6	0	4	0	1	0	0	0
K01810 glucose-6-phosphate isomerase [EC:5.3.1.9]	0	0	0	2	0	0	0	18	0	0	3	13	0	475	0	0	0	0	0	0	35	44	0	9	0	3	3	3	0	0	0
K01811 alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	0	15	1	13	1	24	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
K01812 glucuronate isomerase [EC:5.3.1.12]	0	0	0	0	0	0	0	0	0	1	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K01813 L-rhamnose isomerase [EC:5.3.1.14]	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
K01814 phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	2	0	0	5	0	0	5	0	0	0	0	32	0	732	0	0	2	0	2	0	0	18	0	13	1	1	32	0	0	29	34
K01815 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	30	1	0	0	3	0	0	0
K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24]	0	0	0	2	0	0	0	0	0	0	0	24	0	434	0	0	0	0	1	0	0	25	0	0	0	0	0	0	0	0	20
K01818 L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
K01821 4-oxalocrotonate tautomerase [EC:5.3.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
K01823 isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	0	0	0	0	0	0	0	0	5	0	93	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	65
K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	0	0	0	0	0	0	0	1	9	0	96	41	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
K01835 phosphoglucomutase [EC:5.4.2.2]	3	0	0	20	0	0	0	0	0	1	57	15	1	138	0	0	2	0	4	12	82	43	5	14	25	7	31	6	5	0	0
K01838 beta-phosphoglucomutase [EC:5.4.2.6]	0	0	0	0	0	0	0	0	1	0	0	35	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01839 phosphopentomutase [EC:5.4.2.7]	0	0	0	0	0	0	0	0	0	0	1	0	0	447	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
K01840 phosphomannomutase [EC:5.4.2.8]	0	1	0	0	0	4	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01843 lysine 2,3-aminomutase [EC:5.4.3.2]	2	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	375	0	71	0	0	0	0	0	0	0
K01844 beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K01845 glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	93
K01847 methylmalonyl-CoA mutase [EC:5.4.99.2]	11	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01854 UDP-galactopyranose mutase [EC:5.4.99.9]	0	0	0	0	0	0	0	53	0	0	0	6	0	77	0	0	0	0	0	0	0	0	0	0	3	1	32	49	0	0	0
K01858 myo-inositol-1-phosphate synthase [EC:5.5.1.4]	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1]	0	0	0	2	0	0	0	73	118	0	34	24	2	223	0	0	0	0	1	0	0	12	1	8	5	5	5	0	1	36	62
K01867 tryptophanyl-tRNA synthetase [EC:6.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	35	10	0	1	0	1	0	91	0	5	12
K01868 threonyl-tRNA synthetase [EC:6.1.1.3]	0	0	0	75	0	0	0	10	0	1	100	25	0	406	0	0	0	0	0	0	0	55	6	7	3	1	0	5	0	2	147
K01869 leucyl-tRNA synthetase [EC:6.1.1.4]	0	0	2	15	0	2	1	12	0	2	27	0	0	398	0	0	15	0	1	0	54	165	16	11	2	21	0	2	0	15	243
K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5]	0	0	0	12	0	1	0	22	0	0	13	36	0	3	0	0	7	0	3	8	22	0	16	9	1	22	0	62	0	8	100
K01872 alanyl-tRNA synthetase [EC:6.1.1.7]	0	0	13	9	0	0	1	48	6	2	112	19	0	1061	2	0	1	0	4	0	22	255	12	34	3	12	1	2	10	22	81
K01873 valyl-tRNA synthetase [EC:6.1.1.9]	0	0	0	9	0	0	0	47	0	0	36	1	5	1	0	0	0	0	6	2	67	55	15	14	0	3	1	2	4	4	152
K01874 methionyl-tRNA synthetase [EC:6.1.1.10]	0	0	0	0	0	0	0	24	0	0	118	25	0	12	0	0	0	0	0	0	12	47	0	8	0	4	16	2	0	2	154
K01875 seryl-tRNA synthetase [EC:6.1.1.11]	0	0	0	0	0	1	1	7	0	0	25	31	1	77	0	0	0	0	0	0	0	26	0	6	0	4	14	2	0	0	204
K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]	0	0	0	1	0	0	0	187	24	0	181	0	0	466	0	0	2	0	5	0	2	30	0	14	1	11	46	41	0	0	0
K01878 glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01879 glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	0	0	0	0	0	0	0	0	6	0	53	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01880 glycyl-tRNA synthetase [EC:6.1.1.14]	0	0	0	0	0	0	0	1	0	0	0	0	0	186	0	0	2	0	0	0	1	52	8	3	0	1	0	1	0	37	38
K01881 prolyl-tRNA synthetase [EC:6.1.1.15]	0	0	0	6	0	0	0	41	4	0	91	28	0	916	0	0	0	0	1	0	3	16	0	11	0	8	6	11	0	1	31
K01883 cysteinyl-tRNA synthetase [EC:6.1.1.16]	1	0	0	33	0	0	0	47	13	0	105	62	0	320	0	0	0	0	0	0	4	25	0	1	0	5	6	38	0	9	20
K01885 glutamyl-tRNA synthetase [EC:6.1.1.17]	1	13	0	0	0	0	1	9	0	0	0	0	0	209	0	0	0	0	3	0	39	106	3	12	0	12	21	6	0	26	177
K01886 glutaminyl-tRNA synthetase [EC:6.1.1.18]	1	0	0	23	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	81	0	7	0	3	5	0	0	0	0
K01887 arginyl-tRNA synthetase [EC:6.1.1.19]	0	0	0	1	0	0	0	102	9	0	58	26	0	264	0	0	1	0	1	0	25	115	0	5	0	4	17	0	0	2	202
K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	2	0	1	17	0	7	0	0	0	57	0	10	184
K01890 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	16	0	0	3	0	6	0	7	12	1	267	80	4	1250	53	4	3	0	4	0	22	78	2	15	7	12	19	58	0	7	215
K01892 histidyl-tRNA synthetase [EC:6.1.1.21]	0	5	0	0	0	0	0	23	2	0	108	23	1	626	0	0	0	0	1	0	0	83	15	12	4	11	4	21	3	24	68
K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22]	0	0	0	1	0	0	0	0	0	1	0	2	0	437	0	0	0	0	6	0	12	18	0	9	0	8	2	47	15	0	0
K01895 acetyl-CoA synthetase [EC:6.2.1.1]	19	1	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	53	231
K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	7	0	25	68	0	11	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	295
K01902 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	47
K01908 propionyl-CoA synthetase [EC:6.2.1.17]	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01910 [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	0	0	0	0	0	0	0	0	0	0	7	2	12	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
K01911 O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]	0	0	0	3	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01912 phenylacetate-CoA ligase [EC:6.2.1.30]	2	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	41	0	16	92
K01914 aspartate--ammonia ligase [EC:6.3.1.1]	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
K01915 glutamine synthetase [EC:6.3.1.2]	0	0	0	1	0	0	0	46	0	2	9	0	2	1009	5	8	1	0	2	6	0	259	35	31	0	38	9	35	8	7	55
K01916 NAD+ synthase [EC:6.3.1.5]	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30
K01918 pantoate--beta-alanine ligase [EC:6.3.2.1]	0	0	0	17	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
K01919 glutamate--cysteine ligase [EC:6.3.2.2]	0	0	0	0	0	0	0	0	46	1	255	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	138
K01921 D-alanine-D-alanine ligase [EC:6.3.2.4]	1	0	0	16	0	20	0	201	1	0	124	32	0	499	0	0	2	0	9	0	23	257	6	58	0	5	95	3	0	0	0
K01923 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0	0	0	0	0	0	0	58	13	0	102	26	0	192	0	0	0	0	0	0	0	4	0	5	0	7	0	4	0	14	48
K01924 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	0	0	0	65	0	0	0	63	0	0	21	18	2	422	0	0	2	0	0	0	1	10	7	10	0	6	0	85	0	0	4
K01925 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	13	0	0	5	0	2	0	0	16	0	155	54	0	400	0	53	4	0	2	0	40	0	2	3	0	11	9	6	0	3	797
K01926 redox-sensing transcriptional repressor	0	0	0	0	0	0	0	0	0	0	105	8	0	0	0	0	0	0	0	0	1	8	0	3	0	1	0	0	0	0	0
K01928 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	9	0	0	0	0	0	0	20	4	0	72	43	0	393	0	2	0	0	5	0	9	126	15	10	1	19	81	32	50	9	104
K01929 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	27	2	0	1	0	0	0	2	13	0	189	76	0	466	0	0	4	0	1	28	25	117	20	17	0	13	84	1	9	0	0
K01932 gamma-polyglutamate synthase [EC:6.3.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	3	0	0	0
K01933 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0	0	0	0	0	0	0	5	15	0	182	25	0	149	0	0	1	0	2	1	0	52	1	6	2	2	0	5	0	6	87
K01934 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	0	0	0	0	0	0	0	0	13	0	111	26	0	4	2	0	0	0	0	0	1	45	0	26	0	1	0	0	0	3	3
K01937 CTP synthase [EC:6.3.4.2]	13	0	0	18	0	0	5	38	0	0	1	0	0	1	0	0	2	0	4	0	0	0	20	3	7	6	77	47	0	13	84
K01938 formate--tetrahydrofolate ligase [EC:6.3.4.3]	0	0	0	0	0	0	0	0	10	0	122	44	0	88	0	0	1	0	0	0	0	25	0	6	5	7	0	1	0	0	0
K01939 adenylosuccinate synthase [EC:6.3.4.4]	0	0	0	0	0	0	8	17	6	0	33	7	0	1	0	2	2	0	0	0	2	20	16	2	0	4	60	0	0	0	95
K01940 argininosuccinate synthase [EC:6.3.4.5]	0	0	0	1	0	0	0	36	0	0	0	3	0	310	0	0	0	0	0	0	0	3	5	2	0	0	0	16	0	2	236
K01945 phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0	0	0	15	0	0	0	23	34	0	206	44	0	1	0	0	1	0	9	0	5	67	0	18	0	8	0	3	0	0	227
K01950 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	0	0	0	11	0	2	0	0	0	0	0	0	0	576	0	0	6	0	2	5	47	50	18	2	0	3	41	54	0	0	0
K01951 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	0	0	0	1	0	0	0	64	0	0	0	18	0	332	0	0	12	0	0	2	0	39	0	12	0	13	0	0	5	1	61
K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	0	0	12	13	1	7	0	0	0	0	0	0	0	982	5	0	7	0	4	0	44	275	36	11	2	1	0	15	0	0	0
K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0	0	0	0	0	0	1	0	0	1	175	0	0	92	0	0	13	0	7	4	1	124	2	48	0	29	10	148	0	38	71
K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0	0	0	6	0	0	0	86	11	0	0	53	0	2367	0	1	3	0	2	8	31	140	0	8	0	14	45	4	0	6	143
K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	0	0	0	0	0	0	0	22	0	1	5	19	0	517	0	0	1	0	0	59	32	0	0	11	0	26	0	1	0	1	108
K01958 pyruvate carboxylase [EC:6.4.1.1]	0	0	0	0	0	0	0	184	0	0	0	0	0	1454	0	0	0	0	0	0	25	41	1	0	1	0	56	127	0	0	0
K01959 pyruvate carboxylase subunit A [EC:6.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	81
K01960 pyruvate carboxylase subunit B [EC:6.4.1.1]	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	43
K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	0	0	0	1	0	0	0	0	20	0	85	26	0	444	0	0	5	0	3	0	0	35	0	5	0	8	4	45	0	0	0
K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	0	0	0	0	0	0	0	0	11	0	39	18	0	0	0	0	0	0	0	0	45	0	1	4	6	4	24	5	0	0	0
