#keggName_to_taxonName	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Acetobacter cibinongensis	Acetobacter fabarum	Acetobacter nitrogenifigens	Acetobacter oeni	Acetobacter okinawensis	Acetobacter orientalis	Acetobacter papayae	Acetobacter pasteurianus	Acetobacter peroxydans	Acetobacter persici	Acetobacter senegalensis	Acetobacter aceti	Acetobacter tropicalis	Acidomonas methanolica	Gluconacetobacter diazotrophicus	Gluconacetobacter liquefaciens	Neoasaia chiangmaiensis	Azospira oryzae	Azospira sp. I13	Desulfovibrio alcoholivorans	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium amylolyticum	Clostridium kluyveri	Oscillibacter ruminantium	Oscillibacter valericigenes	Desulfitobacterium metallireducens	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium	Clostridiales bacterium oral taxon 876
K01918 pantoate--beta-alanine ligase [EC:6.3.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	98	0	0	0
K01919 glutamate--cysteine ligase [EC:6.3.2.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	56	0	0	0	0	0	12	0	0	0	0	0	0	0	0
K01920 glutathione synthase [EC:6.3.2.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01921 D-alanine-D-alanine ligase [EC:6.3.2.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	34	0	16	17	0	0	0
K01923 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	14	0	0	0	0	0	9	0	9	0	2	41	0	0	0
K01924 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	3	9	15	0	4	107	0	0	0
K01925 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	13	0	0	52	0	0	0
K01926 redox-sensing transcriptional repressor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	26	0	0	0
K01928 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	11	0	0	0	0	0	0	0	0	8	0	18	0	11	0	0	0	0
K01929 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	36	0	10	143	0	0	0
K01932 gamma-polyglutamate synthase [EC:6.3.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
K01933 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	6	0	10	98	0	0	0
K01934 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	20	0	8	3	0	0	0
K01935 dethiobiotin synthetase [EC:6.3.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01937 CTP synthase [EC:6.3.4.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	66	0	0	0
K01938 formate--tetrahydrofolate ligase [EC:6.3.4.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	13	14	0	0	0
K01939 adenylosuccinate synthase [EC:6.3.4.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	3	1	0	0	0
K01940 argininosuccinate synthase [EC:6.3.4.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	15	0	0	0
K01945 phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	0	0	13	0	0	0	13	132	0	0	0
K01950 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	5	0	0	0	0	0	0	0	0	0	0	30	0	16	0	0	0	0
K01951 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	31	0	5	30	0	0	0
K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	52	55	0	0	0
K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	6	0	36	140	0	0	0
K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	3	0	140	0	32	384	0	0	0
K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	31	0	0	0	0	0	0	0	29	0	0	186	0	0	0
K01958 pyruvate carboxylase [EC:6.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	95	0	4	0	0	0	0
K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	31	0	9	1	0	0	0
K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	14	0	0	0
K01963 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	15	0	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0
K01972 DNA ligase (NAD+) [EC:6.5.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	102	0	16	70	0	0	0
K01989 putative ABC transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	233	0	0	0
K01990 ABC-2 type transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	83	0	90	0	261	9	0	0	0
K01992 ABC-2 type transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	66	0	103	0	867	6	0	0	0
K01993 HlyD family secretion protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
K01995 branched-chain amino acid transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	8	21	0	0	0
K01996 branched-chain amino acid transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	1	16	0	0	0
K01997 branched-chain amino acid transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	2	169	0	0	0
K01998 branched-chain amino acid transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	5	68	0	0	0
K01999 branched-chain amino acid transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	49	0	15	228	0	0	0
K02000 glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
K02001 glycine betaine/proline transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
K02002 glycine betaine/proline transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	15	0	0	0	0	0	0
K02003 putative ABC transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	25	1	86	0	9	67	0	0	0
K02004 putative ABC transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	136	1	450	0	266	341	0	0	0
K02005 HlyD family secretion protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0	70	0	0	60	0	0	0
K02006 cobalt/nickel transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	55	0	0	0
K02007 cobalt/nickel transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
K02008 cobalt/nickel transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
K02009 cobalt/nickel transport protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
K02012 iron(III) transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
K02013 iron complex transport system ATP-binding protein [EC:7.2.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0
K02014 iron complex outermembrane recepter protein	0	0	0	0	0	0	0	0	0	0	0	0	0	36	53	840	0	0	219	0	9	45	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02015 iron complex transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	37	0	0	0	2	0	0	0	0
K02016 iron complex transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	21	0	0	0	0
K02017 molybdate transport system ATP-binding protein [EC:7.3.2.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	24	0	0	0	0
K02018 molybdate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	36	0	0	0
K02019 molybdate transport system regulatory protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K02020 molybdate transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0
K02022 HlyD family secretion protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02027 multiple sugar transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	22	101	0	0	0
K02028 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	1	0	0	13	0	0	0	4	0	0	0	0
K02029 polar amino acid transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0
K02030 polar amino acid transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	37	0	8	0	0	0	0
K02032 peptide/nickel transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
K02033 peptide/nickel transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K02034 peptide/nickel transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	0	0	0
K02035 peptide/nickel transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	29	0	4	0	0	0	0
K02036 phosphate transport system ATP-binding protein [EC:7.3.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	0	0	0
K02037 phosphate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K02038 phosphate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	3	0	0	1	0	0	0	0	8	0	7	8	0	0	0
K02039 phosphate transport system protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	3	26	0	0	0
K02040 phosphate transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	37	0	0	0
K02045 sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02046 sulfate/thiosulfate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02047 sulfate/thiosulfate transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02049 NitT/TauT family transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	26	0	0	29	0	0	0	0	0	0	0	15	0	0	9	0	0	0
K02050 NitT/TauT family transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	38	0	0	0
K02051 NitT/TauT family transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	49	0	0	0	0	0	0	0	48	0	51	6	0	0	0
K02053 putative spermidine/putrescine transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0
K02054 putative spermidine/putrescine transport system permease protein	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02055 putative spermidine/putrescine transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0
K02056 simple sugar transport system ATP-binding protein [EC:7.5.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02057 simple sugar transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0
K02058 simple sugar transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02065 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02066 phospholipid/cholesterol/gamma-HCH transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02067 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02068 putative ABC transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
K02069 putative ABC transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	68	0	0	0
K02071 D-methionine transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	26	0	0	51	0	0	0
K02072 D-methionine transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48	0	2	38	0	0	0
K02073 D-methionine transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0	0	159	0	0	0
K02074 zinc/manganese transport system ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
K02075 zinc/manganese transport system permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
K02076 Fur family transcriptional regulator, zinc uptake regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
K02077 zinc/manganese transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	22	0	0	0	0	0	0
K02078 acyl carrier protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	6	2	0	0
K02083 allantoate deiminase [EC:3.5.3.9]	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02086 DNA replication protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	44	0	0	0
K02103 GntR family transcriptional regulator, arabinose operon transcriptional repressor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
K02108 F-type H+-transporting ATPase subunit a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	9	0	14	0	0	85	0	0	0
K02109 F-type H+-transporting ATPase subunit b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
K02111 F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	24	0	0	0	0	0	0	0	0	0	2	0	1	0	9	0	0	31	0	0	0
K02112 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	0
K02113 F-type H+-transporting ATPase subunit delta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	14	0	0	82	0	0	0
K02114 F-type H+-transporting ATPase subunit epsilon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	3	0	15	3	0	40	0	0	0
K02115 F-type H+-transporting ATPase subunit gamma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	5	0	32	0	0	0	0	0	0	9	0	16	0	0	155	0	0	0
K02117 V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
K02119 V/A-type H+/Na+-transporting ATPase subunit C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
K02121 V/A-type H+/Na+-transporting ATPase subunit E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K02122 V/A-type H+/Na+-transporting ATPase subunit F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K02123 V/A-type H+/Na+-transporting ATPase subunit I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
K02124 V/A-type H+/Na+-transporting ATPase subunit K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	14	0	0	0	0	0	0
K02171 BlaI family transcriptional regulator, penicillinase repressor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
K02189 cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
K02193 heme exporter protein A [EC:7.6.2.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02194 heme exporter protein B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02195 heme exporter protein C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02197 cytochrome c-type biogenesis protein CcmE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02198 cytochrome c-type biogenesis protein CcmF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02199 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02200 cytochrome c-type biogenesis protein CcmH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02203 phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02217 ferritin [EC:1.16.3.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	7	0	0	0	0
K02221 YggT family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	11	0	0	0	0	0	4	0	0	0	0	1	0	0	0
K02224 cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0
K02226 alpha-ribazole phosphatase [EC:3.1.3.73]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02227 adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	39	0	0	0
K02231 adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02232 adenosylcobyric acid synthase [EC:6.3.5.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02233 adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
K02237 competence protein ComEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	14	0	0	21	0	0	0
K02238 competence protein ComEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	37	0	40	44	0	0	0
K02240 competence protein ComFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
K02241 competence protein ComFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
