#keggName_to_taxonName	Bacteroides fragilis	Bacteroides graminisolvens	Bacteroides ihuae	Bacteroides luti	Bacteroides pyogenes	Bacteroides reticulotermitis	Bacteroides sp. KCTC 15687	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus paracasei	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium luticellarii	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Anaerotignum propionicum	Oscillibacter ruminantium	Oscillibacter valericigenes	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium D5	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Intestinimonas timonensis	Clostridiales bacterium	Methanobacterium paludis
K01706 glucarate dehydratase [EC:4.2.1.40]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
K01708 galactarate dehydratase [EC:4.2.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K01710 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
K01712 urocanate hydratase [EC:4.2.1.49]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
K01714 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	18	0	0	0	0	0	0	0	0	0	11	0	35	0	0	1	0	51	0	1	0	0	0	34	0	14	0	39	0	0	0	48	0	0	11
K01715 enoyl-CoA hydratase [EC:4.2.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	1	0	5	0	0	0	5	0	0	0
K01719 uroporphyrinogen-III synthase [EC:4.2.1.75]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
K01733 threonine synthase [EC:4.2.3.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	20	0	20	0	7	0	0	0	43	0	0	13
K01734 methylglyoxal synthase [EC:4.2.3.3]	4	0	0	0	0	0	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01735 3-dehydroquinate synthase [EC:4.2.3.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	10	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	17	0	0	0
K01736 chorismate synthase [EC:4.2.3.5]	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	195	0	0	0	0	0	24	0	13	0	1	0	0	0	44	0	0	20
K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
K01738 cysteine synthase [EC:2.5.1.47]	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	24	0	104	0	0	0	0	0	39	0	3	0	16	0	0	0	0	0	0	0
K01740 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	2	0	0	0	0	1	0
K01744 aspartate ammonia-lyase [EC:4.3.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K01746 formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
K01749 hydroxymethylbilane synthase [EC:2.5.1.61]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	49
K01750 ornithine cyclodeaminase [EC:4.3.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
K01751 diaminopropionate ammonia-lyase [EC:4.3.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
K01752 L-serine dehydratase [EC:4.3.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	202	0	0	0	0	0	11	0	5	0	8	0	0	0	91	0	0	0
K01753 D-serine dehydratase [EC:4.3.1.18]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
K01754 threonine dehydratase [EC:4.3.1.19]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	136	0	0	0	0	0	21	0	5	0	0	0	0	0	13	0	0	0
K01755 argininosuccinate lyase [EC:4.3.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	91	0	0	0	0	0	11	0	5	0	1	0	0	0	0	0	0	30
K01756 adenylosuccinate lyase [EC:4.3.2.2]	0	0	0	0	0	0	0	0	0	0	5	0	0	0	18	0	0	57	0	0	0	0	0	3	0	7	0	6	0	0	0	47	0	0	33
K01759 lactoylglutathione lyase [EC:4.4.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	27	0	5	0	6	0	0	0	0	0	0	0
K01760 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	37	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	41
K01761 methionine-gamma-lyase [EC:4.4.1.11]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	0	0	0	0	13	0	13	0	1	0	0	0	0	0	0	0
K01770 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0
K01771 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01775 alanine racemase [EC:5.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	64	0	0	0	0	0	0	0	60	0	8	0	2	0	0	0	104	0	0	0
K01776 glutamate racemase [EC:5.1.1.3]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	54	0	0	0	0	0	15	0	4	0	0	0	0	0	62	0	0	0
K01778 diaminopimelate epimerase [EC:5.1.1.7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	15	0	7	0	4	0	0	0	0	0	0	31
K01779 aspartate racemase [EC:5.1.1.13]	0	0	0	0	0	0	0	0	0	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0
K01783 ribulose-phosphate 3-epimerase [EC:5.1.3.1]	0	0	0	0	0	0	0	0	0	0	0	0	17	0	4	7	0	81	0	0	0	0	0	10	0	0	0	7	0	0	0	12	0	0	0
K01784 UDP-glucose 4-epimerase [EC:5.1.3.2]	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	59	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	76
K01785 aldose 1-epimerase [EC:5.1.3.3]	5	0	0	0	0	0	0	1	0	0	0	0	0	0	30	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01788 N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K01791 UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	73	0	0	0	0	0	57	0	6	0	0	0	0	0	1	0	0	3
K01802 peptidylprolyl isomerase [EC:5.2.1.8]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	111	0	0	0	0	0	4	0	0	0	10	0	0	0	1	0	0	3
K01804 L-arabinose isomerase [EC:5.3.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01805 xylose isomerase [EC:5.3.1.5]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
K01808 ribose 5-phosphate isomerase B [EC:5.3.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	5	0	0	0	20	0	0	0
K01809 mannose-6-phosphate isomerase [EC:5.3.1.8]	0	0	0	0	0	0	0	1	0	0	0	0	4	0	4	26	0	115	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K01810 glucose-6-phosphate isomerase [EC:5.3.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	129	0	0	0	0	0	18	0	2	0	22	0	0	0	2	0	0	0
K01811 alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01812 glucuronate isomerase [EC:5.3.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01814 phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	0	0	0	0	0	0	0	0	0	0	12	0	15	0	0	16	0	226	0	0	0	0	0	15	0	3	0	3	0	0	0	10	0	0	11
K01815 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24]	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	21	0	90	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	1
K01818 L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
K01821 4-oxalocrotonate tautomerase [EC:5.3.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
K01823 isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	0	0	0	0	0	0	0	0	0	0	0	0	15	0	30	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	0	0	0	0	0	0	0	0	0	0	0	0	12	0	26	17	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
K01835 phosphoglucomutase [EC:5.4.2.2]	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	29	0	0	0	0	0	35	0	13	0	1	0	0	0	8	0	0	0
K01838 beta-phosphoglucomutase [EC:5.4.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01839 phosphopentomutase [EC:5.4.2.7]	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	102	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
K01840 phosphomannomutase [EC:5.4.2.8]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01843 lysine 2,3-aminomutase [EC:5.4.3.2]	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	31	0	0	0	1	0	0	0
K01844 beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
K01845 glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	21
K01854 UDP-galactopyranose mutase [EC:5.4.99.9]	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
K01858 myo-inositol-1-phosphate synthase [EC:5.5.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	67	0	0	0	0	0	14	0	1	0	0	0	0	0	6	0	0	14
K01867 tryptophanyl-tRNA synthetase [EC:6.1.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
K01868 threonyl-tRNA synthetase [EC:6.1.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	17	0	126	0	0	0	0	0	5	0	10	0	3	0	0	0	0	0	0	57
K01869 leucyl-tRNA synthetase [EC:6.1.1.4]	0	0	0	0	0	0	0	0	0	0	15	0	0	0	8	0	0	137	0	0	0	0	0	25	0	21	0	1	0	0	0	2	0	0	90
K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	23
K01872 alanyl-tRNA synthetase [EC:6.1.1.7]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	42	10	0	288	0	0	0	0	0	71	0	45	0	8	0	0	0	0	0	0	0
K01873 valyl-tRNA synthetase [EC:6.1.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	20	0	6	0	1	0	0	0	0	0	0	36
K01874 methionyl-tRNA synthetase [EC:6.1.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	13	0	102	0	0	0	0	0	8	0	10	0	0	0	0	0	20	0	0	35
K01875 seryl-tRNA synthetase [EC:6.1.1.11]	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	15	0	15	0	0	0	0	0	0	0	5	0	1	0	0	0	17	0	0	63
K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	63	0	0	145	0	0	0	0	0	14	0	1	0	16	0	0	2	30	0	0	0
K01878 glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01879 glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01880 glycyl-tRNA synthetase [EC:6.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	8
K01881 prolyl-tRNA synthetase [EC:6.1.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	148	0	0	0	0	0	3	0	2	0	3	0	0	0	17	0	0	5
K01883 cysteinyl-tRNA synthetase [EC:6.1.1.16]	1	0	0	0	0	0	0	0	0	0	2	0	0	0	24	36	0	77	0	0	0	0	0	9	0	13	0	0	0	0	0	11	0	0	10
K01885 glutamyl-tRNA synthetase [EC:6.1.1.17]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	74	0	0	0	0	0	12	0	14	0	1	0	0	0	7	0	0	36
K01886 glutaminyl-tRNA synthetase [EC:6.1.1.18]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	1	0	0	0
K01887 arginyl-tRNA synthetase [EC:6.1.1.19]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	31	0	77	0	0	0	0	0	0	0	10	0	1	0	0	0	16	1	0	56
K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	1	0	5	0	0	0	0	0	0	48
K01890 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	12	0	0	0	0	0	0	0	0	0	0	0	0	0	60	28	0	348	0	0	0	0	0	6	0	19	0	3	0	0	0	35	0	0	49
K01892 histidyl-tRNA synthetase [EC:6.1.1.21]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	9	0	200	0	0	0	0	0	10	0	5	0	5	0	0	0	1	0	0	11
K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	93	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
K01895 acetyl-CoA synthetase [EC:6.2.1.1]	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
K01910 [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
K01911 O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01912 phenylacetate-CoA ligase [EC:6.2.1.30]	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	26
K01914 aspartate--ammonia ligase [EC:6.3.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
K01915 glutamine synthetase [EC:6.3.1.2]	0	0	0	0	0	0	0	0	0	0	1	0	6	0	4	0	0	297	0	0	0	0	0	29	0	47	0	8	0	0	0	8	0	0	16
K01916 NAD+ synthase [EC:6.3.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
K01918 pantoate--beta-alanine ligase [EC:6.3.2.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
K01919 glutamate--cysteine ligase [EC:6.3.2.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
K01921 D-alanine-D-alanine ligase [EC:6.3.2.4]	6	0	0	0	0	0	0	0	0	0	0	0	0	0	34	12	0	115	0	0	0	0	0	16	0	10	0	18	0	0	0	108	0	0	0
K01923 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
K01924 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	6	0	90	0	0	0	0	0	34	0	0	0	4	0	0	0	4	0	0	0
K01925 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	38	0	0	0	0	0	0	0	0	0	0	0	0	0	36	25	0	125	0	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	184
K01926 redox-sensing transcriptional repressor	0	0	0	0	0	0	0	0	0	0	0	0	4	0	32	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
K01928 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	1	0	0	0	0	0	0	0	0	0	0	0	5	0	29	19	0	126	0	0	0	0	0	21	0	9	0	7	0	0	0	122	0	0	28
K01929 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	205	0	0	0	0	0	0	0	0	0	0	0	0	0	67	30	0	117	0	0	0	0	0	32	0	14	0	4	0	0	0	72	0	0	0
K01932 gamma-polyglutamate synthase [EC:6.3.2.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
K01933 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	66	24	0	47	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	15
K01934 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	0	110	0	0	0	0	0	14	0	3	0	7	0	0	0	0	0	0	0
K01935 dethiobiotin synthetase [EC:6.3.3.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
K01937 CTP synthase [EC:6.3.4.2]	53	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	79	0	0	37
K01938 formate--tetrahydrofolate ligase [EC:6.3.4.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	24	0	30	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0
K01939 adenylosuccinate synthase [EC:6.3.4.4]	0	0	0	0	0	0	0	0	0	0	20	1	2	0	16	3	0	0	1	0	0	0	0	10	0	2	0	1	0	0	0	82	0	0	27
K01940 argininosuccinate synthase [EC:6.3.4.5]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
K01945 phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	27	0	0	0	0	0	0	0	2	0	5	0	2	0	0	0	0	0	0	56
K01950 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	167	0	0	0	0	0	33	0	4	0	1	0	0	0	45	0	0	0
K01951 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	101	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14
K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	44	0	37	0	6	0	4	0	0	0	0	0
K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	33	0	0	0	0	0	50	0	20	0	39	0	0	0	4	0	0	15
K01955 carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	24	0	520	0	0	0	0	0	55	0	26	0	1	0	0	0	72	0	0	62
K01956 carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	69	0	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	23
K01958 pyruvate carboxylase [EC:6.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	10	0	0	0	0	0	0	0	69	0	0	0
K01959 pyruvate carboxylase subunit A [EC:6.4.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
K01960 pyruvate carboxylase subunit B [EC:6.4.1.1]	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	17	0	121	0	0	0	0	0	8	0	3	0	0	0	0	0	8	0	0	0
K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
K01963 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	0	0	0	0	0	0	0	0	0	0	5	0	0	0	18	1	0	6	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0
K01972 DNA ligase (NAD+) [EC:6.5.1.2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	37	0	371	0	0	0	0	0	29	0	13	0	12	0	0	0	56	0	0	0
K01975 RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	2
K01989 putative ABC transport system substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	14	0	0	0	0	0	0	0	42	0	4	0	5	0	0	0	0	0	0	0
K01990 ABC-2 type transport system ATP-binding protein	37	0	0	0	0	0	0	0	0	0	7	0	61	0	168	128	0	468	0	0	0	0	0	62	0	255	0	23	0	0	0	39	0	0	88
K01991 polysaccharide biosynthesis/export protein	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
